(32, 32)
(64, 64)
('Consistency check, these numbers should be small:', (1.0865634669253823e-14+0j))
         125520 function calls (121510 primitive calls) in 2.512 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.497    0.497    2.538    2.538 extract_2.py:2(<module>)
        4    0.153    0.038    0.417    0.104 __init__.py:2(<module>)
        1    0.112    0.112    0.113    0.113 Tkinter.py:31(<module>)
        1    0.062    0.062    0.062    0.062 hashlib.py:55(<module>)
        1    0.057    0.057    0.057    0.057 linalg.py:10(<module>)
        1    0.050    0.050    0.058    0.058 numeric.py:1(<module>)
        5    0.047    0.009    0.641    0.128 __init__.py:1(<module>)
       26    0.044    0.002    0.044    0.002 {imp.load_module}
        1    0.040    0.040    0.060    0.060 font_manager.py:21(<module>)
       64    0.039    0.001    0.039    0.001 {posix.listdir}
     1558    0.031    0.000    0.031    0.000 {posix.lstat}
        1    0.030    0.030    0.136    0.136 axes.py:1(<module>)
        1    0.029    0.029    0.030    0.030 transforms.py:30(<module>)
        1    0.029    0.029    0.683    0.683 __init__.py:106(<module>)
        1    0.028    0.028    0.045    0.045 collections.py:1(<module>)
        1    0.027    0.027    0.029    0.029 case.py:1(<module>)
        1    0.027    0.027    0.141    0.141 __init__.py:5(<module>)
        2    0.025    0.012    0.060    0.030 machar.py:114(_do_init)
        1    0.023    0.023    0.023    0.023 image.py:5(<module>)
        1    0.021    0.021    0.038    0.038 basic.py:6(<module>)
        1    0.021    0.021    0.242    0.242 axis.py:3(<module>)
        1    0.019    0.019    0.019    0.019 backend_agg.py:22(<module>)
        1    0.019    0.019    0.067    0.067 __init__.py:15(<module>)
        1    0.019    0.019    0.021    0.021 transformer.py:9(<module>)
        3    0.018    0.006    0.157    0.052 __init__.py:6(<module>)
        1    0.018    0.018    0.019    0.019 __init__.py:88(<module>)
        1    0.018    0.018    0.074    0.074 result.py:1(<module>)
        1    0.017    0.017    0.159    0.159 backend_tkagg.py:3(<module>)
        1    0.017    0.017    0.473    0.473 mpl.py:1(<module>)
     2053    0.017    0.000    0.017    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.017    0.017    0.017    0.017 heapq.py:31(<module>)
        1    0.017    0.017    0.131    0.131 __init__.py:45(<module>)
        1    0.017    0.017    0.061    0.061 backend_bases.py:29(<module>)
        1    0.015    0.015    0.137    0.137 __init__.py:99(<module>)
        1    0.015    0.015    0.016    0.016 pickle.py:25(<module>)
        1    0.015    0.015    0.016    0.016 mathtext.py:19(<module>)
        1    0.015    0.015    0.015    0.015 lapack.py:5(<module>)
       29    0.013    0.000    0.013    0.000 {open}
        1    0.012    0.012    0.013    0.013 polynomial.py:54(<module>)
        1    0.011    0.011    0.012    0.012 __init__.py:4(<module>)
   312/74    0.011    0.000    0.029    0.000 sre_parse.py:380(_parse)
        1    0.011    0.011    0.073    0.073 pyparsing.py:59(<module>)
     26/1    0.011    0.000    0.174    0.174 _import_tools.py:49(_init_info_modules)
        4    0.010    0.003    0.010    0.003 {posix.open}
        1    0.010    0.010    0.013    0.013 __init__.py:38(<module>)
        1    0.010    0.010    0.056    0.056 util.py:1(<module>)
        1    0.010    0.010    0.025    0.025 index_tricks.py:1(<module>)
      271    0.010    0.000    0.012    0.000 function_base.py:3220(add_newdoc)
        1    0.009    0.009    0.010    0.010 socket.py:45(<module>)
        6    0.009    0.002    0.009    0.002 {method 'close' of 'file' objects}
      129    0.009    0.000    0.010    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      220    0.009    0.000    0.014    0.000 sre_compile.py:208(_optimize_charset)
        1    0.009    0.009    0.013    0.013 npyio.py:1(<module>)
        1    0.009    0.009    0.346    0.346 __init__.py:74(<module>)
        1    0.009    0.009    0.112    0.112 pilutil.py:7(<module>)
        1    0.009    0.009    0.020    0.020 urllib.py:23(<module>)
